"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UBR4",6512.8707594367,0.388070834623574,0.0544348725692187,7.12908502045463,1.01038312712575e-12,8.54439903047073e-12
"EMC1-AS1",8.37075295980486,-1.76567817794332,0.700922281082012,-2.51907839941633,0.0117662454832198,0.0278522934261269
"EMC1",1512.56251264343,0.169303200468179,0.065195833652618,2.59684079461696,0.00940855212120157,0.0228321462127893
"MRTO4",579.97604675368,-0.750208076498386,0.112933806188878,-6.64290084444413,3.07568764306426e-11,2.27252837292583e-10
"CAPZB",1163.00672436057,0.267455317795645,0.0806026307424213,3.31819588681096,0.000906009216299245,0.00270183552654786
"MICOS10",237.863697467693,-0.935518730720645,0.131297621619733,-7.12517652018188,1.03947383158737e-12,8.77804963403746e-12
"TMCO4",141.860805043489,-0.850521410287237,0.166375684999836,-5.11205354489195,3.18675464591269e-07,1.57424631233532e-06
"OTUD3",661.86876511643,1.17429921864799,0.092961041964707,12.6321649782477,1.40362494138469e-36,4.21578751144893e-35
"MUL1",325.118749454886,0.306778983603724,0.120002950271147,2.55642867871629,0.0105752747684833,0.0253730563976618
"CDA",495.34266820882,2.11200987956868,0.11779847800835,17.9290082119649,7.00175309547153e-72,5.0471437013397e-70
"PINK1",196.38948566233,0.931211041827236,0.149682130779846,6.22125725345848,4.93186746443778e-10,3.23778446545112e-09
"KIF17",25.117393705828,1.40126989736181,0.391318727930867,3.58089147629391,0.000342423870139563,0.00109898852427161
"EIF4G3",945.108621694511,0.383205398284926,0.0816524477814516,4.69312811430469,2.69058873218725e-06,1.18695470116882e-05
"ECE1",1469.06460244543,0.375280793220365,0.0692601690477685,5.41842156003887,6.01275084036041e-08,3.23740014622453e-07
"NBPF3",252.135264697678,0.485406685967681,0.13099384087913,3.70556877109646,0.000210916889728488,0.000699858823383737
"RAP1GAP",228.562542628683,0.784655563363477,0.129042753232145,6.08058603610155,1.19744078369308e-09,7.62781207597488e-09
"USP48",935.874144717543,-0.29900550575998,0.0808263894611612,-3.69935497247045,0.000216148111291162,0.00071616199918699
"HSPG2",1140.80258451343,0.312448817455449,0.0894654245213182,3.49239741640076,0.000478705431798449,0.00149666040708533
"CDC42",4425.42190263791,0.353575025651722,0.0601557355908088,5.8776610771882,4.16103752476197e-09,2.53074779729111e-08
"ZBTB40",792.503167688956,-0.545033806204568,0.082057042627405,-6.64213318873059,3.09175381011221e-11,2.28346292672263e-10
"EPHA8",14.2540070789767,2.17083063200802,0.548659855927217,3.95660555179382,7.60223056183095e-05,0.000271340457426729
"EPHB2",498.582311475322,1.01509289965017,0.0952082594362917,10.6618155363864,1.53569889460518e-26,3.03785178701206e-25
"HTR1D",81.9937633556913,-0.906738147005988,0.21579098988335,-4.20192774265573,2.64651615456115e-05,0.000101344810075109
"HNRNPR",2465.31027558318,-0.663118476448945,0.0641866737386774,-10.3310926992212,5.0976536785184e-25,9.26056622384879e-24
